City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,50.0,71,0,13.8,clear sky
1,Kenai,US,60.5544,-151.2583,35.6,59,90,10.36,overcast clouds
2,Butaritari,KI,3.0707,172.7902,81.46,78,100,13.06,light rain
3,Amqui,CA,48.4638,-67.4313,42.8,81,20,8.05,few clouds
4,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,75,12.66,light rain
5,Atuona,PF,-9.8,-139.0333,80.73,73,5,15.26,clear sky
6,Lagoa,PT,39.05,-27.9833,59.22,92,24,22.91,few clouds
7,Batagay,RU,67.6333,134.6333,1.58,86,61,1.21,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,71.6,83,1,9.22,clear sky
9,Rikitea,PF,-23.1203,-134.9692,77.11,60,0,7.72,clear sky
10,Buraydah,SA,26.326,43.975,71.6,23,0,10.36,clear sky
11,Huarmey,PE,-10.0681,-78.1522,70.5,86,97,8.23,overcast clouds
12,Nantucket,US,41.2835,-70.0995,44.6,93,1,12.66,clear sky
13,Hermanus,ZA,-34.4187,19.2345,60.01,90,100,1.99,overcast clouds
14,Busselton,AU,-33.65,115.3333,62.01,83,33,1.99,scattered clouds
15,Smithers,CA,54.7804,-127.1743,39.2,52,75,9.22,broken clouds
16,Valvedditturai,LK,9.8167,80.1667,78.1,83,32,7.52,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,46.4,87,40,3.71,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,63.0,66,11,5.01,few clouds
19,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.8,94,0,3.44,clear sky
20,Klaksvik,FO,62.2266,-6.589,35.6,100,90,23.02,overcast clouds
21,Zhigansk,RU,66.7697,123.3711,10.35,89,100,22.62,overcast clouds
22,Barrow,US,71.2906,-156.7887,-18.4,63,90,11.5,haze
23,Sur,OM,22.5667,59.5289,79.5,37,0,6.38,clear sky
24,Tuatapere,NZ,-46.1333,167.6833,63.0,66,15,5.01,few clouds
25,Hasaki,JP,35.7333,140.8333,59.0,87,40,4.61,scattered clouds
26,Bluff,NZ,-46.6,168.3333,63.0,66,17,5.01,few clouds
27,Pevek,RU,69.7008,170.3133,-13.38,93,79,4.47,broken clouds
28,Aginskoye,RU,51.1,114.53,46.96,39,10,5.57,clear sky
29,Lavrentiya,RU,65.5833,-171.0,-0.42,74,28,5.46,scattered clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,16,1.01,few clouds
31,Tezu,IN,27.9167,96.1667,77.83,33,87,1.48,overcast clouds
32,Cherskiy,RU,68.75,161.3,-0.49,87,100,4.18,overcast clouds
33,Saldanha,ZA,-33.0117,17.9442,59.0,88,4,4.61,clear sky
34,Kodiak,US,57.79,-152.4072,37.4,70,90,10.36,light snow
35,Tubarao,BR,-28.4667,-49.0069,66.58,88,2,3.04,clear sky
36,Vaini,TO,-21.2,-175.2,80.6,74,20,9.22,few clouds
37,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,82,40,15.12,scattered clouds
38,Jamestown,US,42.097,-79.2353,64.4,55,1,5.75,clear sky
39,Bengkulu,ID,-3.8004,102.2655,77.49,81,96,3.36,overcast clouds
40,Thompson,CA,55.7435,-97.8558,46.4,46,20,9.22,few clouds
41,Rabaul,PG,-4.1967,152.1721,78.24,89,100,18.61,moderate rain
42,Consett,GB,54.854,-1.8316,35.01,75,87,5.75,overcast clouds
43,Roma,US,43.2128,-75.4557,62.6,39,1,3.44,clear sky
44,Te Anau,NZ,-45.4167,167.7167,62.71,48,1,2.44,clear sky
45,Port Alfred,ZA,-33.5906,26.891,68.2,83,100,11.25,overcast clouds
46,Rawah,IQ,34.4816,41.9093,69.85,24,95,6.26,overcast clouds
47,Codrington,AU,-38.2667,141.9667,73.08,36,100,11.83,overcast clouds
48,Jijiga,ET,9.35,42.8,59.18,17,75,6.2,broken clouds
49,Kapaa,US,22.0752,-159.319,73.4,73,90,21.85,light rain
50,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,71,20,6.91,few clouds
51,New Ross,IE,52.3967,-6.9367,42.01,85,65,4.16,broken clouds
52,Carutapera,BR,-1.195,-46.02,77.61,88,93,5.32,overcast clouds
53,Castro,BR,-24.7911,-50.0119,57.67,95,6,9.13,clear sky
54,Kautokeino,NO,69.0125,23.0412,21.79,93,100,6.82,overcast clouds
55,Maniitsoq,GL,65.4167,-52.9,28.08,66,100,7.83,overcast clouds
56,Nikolskoye,RU,59.7035,30.7861,30.99,93,95,2.55,mist
57,Kuldur,RU,49.2167,131.6333,29.19,60,100,8.93,overcast clouds
58,Tilichiki,RU,60.4667,166.1,9.91,79,6,6.85,clear sky
59,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,11.5,clear sky
60,Grindavik,IS,63.8424,-22.4338,30.2,100,90,20.71,light snow
61,Portland,US,45.5234,-122.6762,52.0,66,90,6.91,overcast clouds
62,Voh,NC,-20.9667,164.7,85.66,54,99,9.24,overcast clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,94,20,14.36,few clouds
64,Sinaloa,MX,25.0,-107.5,82.99,42,75,9.22,broken clouds
65,Taoudenni,ML,22.6783,-3.9836,84.2,15,2,9.24,clear sky
66,Aklavik,CA,68.2191,-135.0107,8.6,52,1,4.61,clear sky
67,Upernavik,GL,72.7868,-56.1549,-3.14,88,95,7.02,overcast clouds
68,Mahebourg,MU,-20.4081,57.7,77.0,88,75,12.66,light rain
69,Homer,US,59.6425,-151.5483,36.0,51,90,3.44,overcast clouds
70,Hobart,AU,-42.8794,147.3294,69.01,55,0,8.05,clear sky
71,Flinders,AU,-34.5833,150.8552,77.0,72,39,1.01,scattered clouds
72,Bubaque,GW,11.2833,-15.8333,77.52,78,20,12.44,few clouds
73,San Antonio,US,29.4241,-98.4936,90.0,15,1,10.36,clear sky
74,Seymchan,RU,62.8833,152.4333,5.68,81,51,4.16,broken clouds
75,College,US,64.8569,-147.8028,18.0,41,40,3.44,scattered clouds
76,Empangeni,ZA,-28.762,31.8933,64.51,92,53,4.0,broken clouds
77,San Pedro De Macoris,DO,18.4616,-69.2972,75.99,94,90,8.05,overcast clouds
78,Igrim,RU,63.1906,64.4162,31.42,95,100,5.21,overcast clouds
79,Taltal,CL,-25.4,-70.4833,68.32,76,100,3.29,overcast clouds
80,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,60,40,2.24,scattered clouds
81,Pangnirtung,CA,66.1451,-65.7125,30.04,95,100,9.06,snow
82,Namatanai,PG,-3.6667,152.4333,78.71,88,100,10.58,moderate rain
83,Saint Anthony,US,45.0205,-93.218,66.0,72,1,6.91,clear sky
84,Avarua,CK,-21.2078,-159.775,84.2,65,75,9.22,broken clouds
85,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,90,6.91,mist
86,Charters Towers,AU,-20.1,146.2667,84.88,44,62,6.87,broken clouds
87,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,11.5,few clouds
88,Ust-Tsilma,RU,65.441,52.1498,34.86,85,100,7.43,overcast clouds
89,New Norfolk,AU,-42.7826,147.0587,66.99,44,100,3.29,overcast clouds
90,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,75,8.05,broken clouds
91,Provideniya,RU,64.3833,-173.3,5.0,66,0,6.71,clear sky
92,Fare,PF,-16.7,-151.0167,81.77,60,71,10.33,broken clouds
93,Monster,NL,52.0258,4.175,39.99,81,20,5.75,few clouds
94,Macklin,CA,52.3334,-109.9348,62.6,17,100,17.27,overcast clouds
95,Cabedelo,BR,-6.9811,-34.8339,78.8,89,20,6.91,few clouds
96,Reconquista,AR,-29.15,-59.65,70.21,81,41,6.96,light rain
97,Aleksandrov Gay,RU,50.147,48.5704,45.41,72,82,12.82,broken clouds
98,Bambanglipuro,ID,-7.95,110.2833,80.6,80,45,1.9,scattered clouds
99,Kaitangata,NZ,-46.2817,169.8464,61.0,69,8,8.01,clear sky
100,Saskylakh,RU,71.9167,114.0833,5.11,94,100,6.6,overcast clouds
101,Constitucion,CL,-35.3333,-72.4167,55.58,83,63,8.03,broken clouds
102,Alofi,NU,-19.0595,-169.9187,82.4,69,40,9.22,scattered clouds
103,Bonnyville,CA,54.2668,-110.735,60.8,21,90,4.61,overcast clouds
104,Victoria,HK,22.2855,114.1577,73.99,78,95,3.0,overcast clouds
105,Yellowknife,CA,62.456,-114.3525,19.4,79,90,10.36,snow
106,Kolaras,IN,25.2333,77.6,76.32,25,22,9.06,few clouds
107,Margate,GB,51.3813,1.3862,39.0,52,6,1.99,clear sky
108,Esmeraldas,BR,-19.7625,-44.3139,69.8,77,0,13.8,clear sky
109,Kiama,AU,-34.6833,150.8667,77.0,72,39,1.01,scattered clouds
110,Bulgan,MN,48.8125,103.5347,44.62,30,34,2.57,scattered clouds
111,Albany,US,42.6001,-73.9662,59.0,55,20,6.91,few clouds
112,Mount Gambier,AU,-37.8333,140.7667,66.2,59,100,12.66,overcast clouds
113,Airai,TL,-8.9266,125.4092,68.58,77,100,1.16,overcast clouds
114,Yumen,CN,40.2833,97.2,48.42,25,100,10.07,overcast clouds
115,Torbay,CA,47.6666,-52.7314,37.0,95,72,3.0,broken clouds
116,Fuerte Olimpo,PY,-21.0415,-57.8738,74.82,62,2,4.9,clear sky
117,Ahipara,NZ,-35.1667,173.1667,70.3,62,76,1.05,broken clouds
118,Sarany,RU,58.5,58.8833,32.58,98,100,7.63,overcast clouds
119,Narsaq,GL,60.9167,-46.05,39.2,56,40,5.75,scattered clouds
120,Vila Velha,BR,-20.3297,-40.2925,75.99,94,75,6.91,broken clouds
121,Puyo,EC,-1.4667,-77.9833,68.0,94,90,2.3,moderate rain
122,Ponta Do Sol,PT,32.6667,-17.1,61.0,76,100,1.01,overcast clouds
123,Hilo,US,19.7297,-155.09,78.8,47,40,12.66,scattered clouds
124,Konstantinovka,RU,49.6167,127.9833,31.87,37,6,18.66,clear sky
125,Havelock,US,34.8791,-76.9013,71.01,51,6,5.32,clear sky
126,Nanortalik,GL,60.1432,-45.2371,35.64,86,100,5.06,overcast clouds
127,Icod De Los Vinos,ES,28.3724,-16.7119,64.0,65,71,0.69,broken clouds
128,Muroto,JP,33.2833,134.15,62.6,42,75,5.75,broken clouds
129,Luderitz,NA,-26.6481,15.1594,69.22,53,0,7.74,clear sky
130,Skelleftea,SE,64.7507,20.9528,28.4,69,11,5.75,few clouds
131,Chervona Sloboda,UA,49.3789,32.1464,31.68,83,5,10.96,clear sky
132,Yar-Sale,RU,66.8333,70.8333,10.33,100,100,3.31,overcast clouds
133,Kirakira,SB,-10.4544,161.9205,84.4,70,100,11.65,overcast clouds
134,Ketchikan,US,55.3422,-131.6461,41.0,75,40,10.36,scattered clouds
135,Qaanaaq,GL,77.484,-69.3632,2.23,68,100,7.58,overcast clouds
136,Severo-Kurilsk,RU,50.6789,156.125,31.6,89,100,50.31,overcast clouds
137,Wattegama,LK,6.7989,81.4808,73.4,100,20,2.3,few clouds
138,Chicama,PE,-7.8447,-79.1469,68.0,88,75,9.22,broken clouds
139,Gorontalo,ID,0.5412,123.0595,84.83,70,100,0.78,light rain
140,Katsuura,JP,35.1333,140.3,57.99,66,75,5.75,broken clouds
141,Sitrah,BH,26.1547,50.6206,75.2,35,0,4.61,clear sky
142,Aykhal,RU,66.0,111.5,17.31,92,100,10.33,light snow
143,Kruisfontein,ZA,-34.0033,24.7314,62.01,92,18,1.01,few clouds
144,Khatanga,RU,71.9667,102.5,-8.52,97,100,2.98,overcast clouds
145,Ribeira Grande,PT,38.5167,-28.7,60.1,90,54,20.87,broken clouds
146,Kimbe,PG,-5.5502,150.1429,77.31,92,100,12.5,moderate rain
147,Cayenne,GF,4.9333,-52.3333,75.2,100,75,1.14,broken clouds
148,Bethel,US,41.3712,-73.414,62.6,39,1,11.5,clear sky
149,Matara,LK,5.9485,80.5353,75.38,84,18,3.11,few clouds
150,Acapulco,MX,16.8634,-99.8901,82.4,69,40,11.5,scattered clouds
151,Ossora,RU,59.2353,163.0719,18.0,87,91,3.71,overcast clouds
152,Padang,ID,-0.9492,100.3543,75.2,100,40,2.3,scattered clouds
153,Rock Sound,BS,24.9,-76.2,71.15,56,88,12.21,overcast clouds
154,Asau,RO,46.4333,26.4,28.4,93,0,2.3,clear sky
155,Faanui,PF,-16.4833,-151.75,81.36,68,62,13.24,broken clouds
156,Winnemucca,US,40.973,-117.7357,68.0,11,1,18.41,clear sky
157,Mandalgovi,MN,45.7625,106.2708,42.17,33,0,11.36,clear sky
158,Tsogni,GA,-2.7942,10.0988,77.31,90,76,4.03,moderate rain
159,Raytown,US,39.0086,-94.4636,50.0,87,90,16.11,overcast clouds
160,Aguililla,MX,18.7333,-102.7333,78.21,37,4,7.25,clear sky
161,Chuy,UY,-33.6971,-53.4616,69.89,82,0,13.6,clear sky
162,Georgetown,MY,5.4112,100.3354,80.01,94,20,2.3,few clouds
163,Nueva Gerona,CU,21.8833,-82.8,75.51,72,97,6.98,overcast clouds
164,Fagernes,NO,60.9858,9.2324,12.96,91,65,2.68,broken clouds
165,Ostrovnoy,RU,68.0531,39.5131,30.34,87,100,11.16,overcast clouds
166,Zharkent,KZ,44.1628,80.0,51.42,57,100,2.8,overcast clouds
167,Noumea,NC,-22.2763,166.4572,87.01,57,75,5.75,broken clouds
168,Waipawa,NZ,-41.4122,175.5153,69.8,64,0,14.97,clear sky
169,Hovd,MN,48.0056,91.6419,41.09,34,0,6.78,clear sky
170,Moyale,KE,3.5167,39.0584,67.14,71,90,2.84,overcast clouds
171,Broken Hill,AU,-31.95,141.4333,77.0,22,2,2.3,clear sky
172,Matiari,PK,25.5961,68.4467,68.0,68,0,5.06,haze
173,Lebu,CL,-37.6167,-73.65,54.79,90,2,4.36,clear sky
174,Tasiilaq,GL,65.6145,-37.6368,15.8,67,8,2.3,clear sky
175,Cabo San Lucas,MX,22.8909,-109.9124,82.4,36,40,10.36,scattered clouds
176,Jacareacanga,BR,-6.2222,-57.7528,75.69,90,86,2.33,overcast clouds
177,Vardo,NO,70.3705,31.1107,21.2,86,0,5.75,clear sky
178,Grand-Lahou,CI,5.1367,-5.0242,79.88,91,30,6.42,scattered clouds
179,Namibe,AO,-15.1961,12.1522,78.55,82,70,6.67,broken clouds
180,Alice Springs,AU,-23.7,133.8833,82.99,27,0,8.05,clear sky
181,Kysyl-Syr,RU,63.8986,122.7617,12.34,88,100,13.22,overcast clouds
182,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,81,90,9.22,overcast clouds
183,Balkhash,KZ,46.844,74.9804,44.06,76,11,9.13,few clouds
184,Lasa,IT,46.6166,10.7002,27.0,86,40,2.3,scattered clouds
185,Strezhevoy,RU,60.7333,77.5889,32.0,93,90,4.47,overcast clouds
186,Souillac,MU,-20.5167,57.5167,77.0,88,75,12.66,broken clouds
187,Wum,CM,6.3833,10.0667,73.17,57,72,4.07,broken clouds
188,Ballina,AU,-28.8667,153.5667,73.4,83,75,11.5,broken clouds
189,Malpe,IN,13.35,74.7167,80.6,89,40,3.78,scattered clouds
190,Zhanaozen,KZ,43.3,52.8,53.42,35,0,12.68,clear sky
191,Tiksi,RU,71.6872,128.8694,-2.54,90,100,3.6,overcast clouds
192,Mocuba,MZ,-16.8392,36.9856,65.5,97,54,4.09,broken clouds
193,Chokurdakh,RU,70.6333,147.9167,-0.08,85,52,3.06,broken clouds
194,Shache,CN,38.4167,77.2406,45.25,72,100,3.36,overcast clouds
195,Cap-Aux-Meules,CA,47.3821,-61.8597,39.2,93,100,6.91,overcast clouds
196,Muscatine,US,41.4667,-91.1335,68.0,83,75,5.75,broken clouds
197,Storsteinnes,NO,69.2408,19.2344,30.2,80,75,4.61,light snow
198,Clyde River,CA,70.4692,-68.5914,8.6,92,90,4.61,light snow
199,Longyearbyen,SJ,78.2186,15.6401,23.0,80,75,19.57,light snow
200,Kalemie,CD,-5.9475,29.1947,67.44,94,99,4.76,moderate rain
201,Talnakh,RU,69.4865,88.3972,1.56,95,69,0.4,broken clouds
202,Salalah,OM,17.0151,54.0924,75.2,57,0,5.75,clear sky
203,Soverato,IT,38.685,16.5499,53.6,71,75,12.66,broken clouds
204,Ternate,ID,0.8,127.4,83.64,72,50,0.31,scattered clouds
205,Bandarbeyla,SO,9.4942,50.8122,75.47,62,8,2.66,clear sky
206,Atar,MR,20.5169,-13.0499,78.89,19,0,7.72,clear sky
207,Fairbanks,US,64.8378,-147.7164,19.0,48,1,3.44,clear sky
208,Ostersund,SE,63.1792,14.6357,24.8,86,11,8.05,few clouds
209,Auki,SB,-8.7676,160.7034,85.77,63,100,4.85,overcast clouds
210,Evensk,RU,61.95,159.2333,14.02,81,22,1.9,few clouds
211,Parana,AR,-31.732,-60.5238,79.0,76,100,1.01,overcast clouds
212,Washington,US,47.5001,-120.5015,55.0,39,18,5.99,few clouds
213,Laibin,CN,23.7,109.2667,66.43,76,99,11.81,overcast clouds
214,Kavieng,PG,-2.5744,150.7967,79.99,77,100,21.59,moderate rain
215,Araouane,ML,18.9048,-3.5265,83.7,11,0,8.34,clear sky
216,Port Lincoln,AU,-34.7333,135.8667,79.86,31,100,13.62,overcast clouds
217,Canala,NC,-21.5333,165.95,82.4,57,75,5.75,broken clouds
218,Egvekinot,RU,66.3167,-179.1667,-1.91,78,6,2.53,clear sky
219,Honiara,SB,-9.4333,159.95,82.49,77,100,8.08,overcast clouds
220,Sandwick,GB,60.0,-1.25,37.4,75,75,18.41,broken clouds
221,Lata,PT,40.1629,-8.3327,55.99,84,38,1.79,scattered clouds
222,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.27,82,71,4.09,broken clouds
223,Sakakah,SA,29.9697,40.2064,73.4,17,0,5.75,clear sky
224,Cherepovets,RU,59.1333,37.9,33.82,98,100,11.12,snow
225,Erzin,TR,36.9559,36.2,64.0,91,5,1.7,clear sky
226,Walcz,PL,53.2779,16.4712,37.0,90,100,5.01,overcast clouds
227,Urengoy,RU,65.9667,78.3667,9.3,95,35,7.56,scattered clouds
228,Barinas,VE,8.6226,-70.2075,77.0,100,94,2.3,overcast clouds
229,Hobyo,SO,5.3505,48.5268,78.94,63,5,8.97,clear sky
230,Manono,CD,-7.3,27.4167,68.41,98,99,3.51,overcast clouds
